Work_Location,Age,Experience_Years,Work_Hours_Per_Week,Salary,Sleep_Hours,Social_Interactions,Productivity,Isolation_Score,WellBeing_Score,Stress_Level
Office,37,14,34.6,9223,5.5,7.3,64,2.38,4.74,Medium
Remote,43,15.8,49.5,11936,6.5,2.5,80.4,7.8,2.75,High
Remote,30,7.7,39,9038,7,1.7,66.8,6.82,2.27,High
Hybrid,31,6.6,50.2,8211,4.6,5.4,62.8,5.12,1.35,High
Hybrid,28,6.4,50.8,8705,6.9,5.5,66.3,5.54,2.72,High
Hybrid,42,14.1,39.2,10491,6.1,5.1,46.3,5.55,2.16,High
Hybrid,28,5.8,51.1,7972,6.3,3.4,72.5,4.28,2.66,High
Remote,43,14.4,46.8,11175,6.9,6.4,67.9,6.23,2.33,High
Office,31,7.2,46.6,7106,6.6,2.5,59.7,2.24,2.62,High
Hybrid,24,2.4,46.6,7734,6.1,5.4,65,5.01,2.59,High
Remote,30,6.8,30,9383,7.9,4.1,77.1,6.76,3.25,High
Remote,25,2.7,35.8,7356,5.3,0.6,63.6,7.28,1.12,High
Office,39,12.3,44.4,10214,7.1,3.6,76.7,2.79,3.66,High
Hybrid,28,6.3,46.8,8047,5.8,3.7,78.7,5.49,1.77,High
Hybrid,23,1.8,41.5,8008,6,4.3,65.6,2.78,2.77,High
Hybrid,25,3.1,35.8,6512,5.7,4.5,57.8,3.25,1.93,High
Office,37,10.1,39.3,9735,7.5,3.4,68.3,2.55,2.79,High
Remote,39,15,42.8,11022,5.5,6.2,70.9,5.84,2.27,High
Hybrid,44,21.6,37.7,12156,7.9,6.4,79.4,4.71,4.59,Medium
Remote,46,18.8,41.8,12514,7.1,7.9,64.9,5.53,3.04,High
Office,32,8.5,50.3,7402,7.2,2.7,66.8,2.56,3.65,High
Remote,39,16,53.4,11760,5.2,2.5,52.5,4.68,2.27,High
Office,36,13.9,45.2,9384,6.9,4.5,63.4,2.73,2.59,High
Hybrid,38,14,44.2,11093,8.4,4.5,79.5,4.93,4.24,High
Remote,45,17,39.9,11900,7.3,2.6,72.7,7.78,3.08,High
Remote,36,9.1,45.2,10059,7.2,4,80.4,6.78,2.88,High
Remote,38,12.1,43,10645,7.6,7,67,4.85,4.01,High
Remote,35,10.4,51.2,10038,6.7,7.3,73.5,4.68,5.85,Medium
Office,31,7.7,34,8855,5.6,2.3,96.3,1.44,3.44,High
Office,32,10.2,46.2,8497,5.1,2,70.3,1.56,2.62,High
Hybrid,32,7.2,45.8,7854,7,2.9,76.2,2.41,3.44,High
Hybrid,40,15.2,36.1,10408,7.4,2.5,71.7,3.99,3.36,High
Office,37,12.3,37.7,9577,8.2,5.7,71.5,2.31,4.69,Medium
Remote,40,14.7,41.9,11330,6.2,4.9,63.5,7.04,2.49,High
Office,39,17.4,50.8,10974,7.1,5.2,97.7,2.15,4.99,Medium
Hybrid,21,0,41.6,5857,5.1,6,57.5,3.72,3.43,High
Remote,30,6.4,42.9,8729,9,3.6,67.9,8.17,3.48,High
Remote,43,19.5,42.8,13211,6.4,5.1,60,7.63,2.32,High
Office,27,3.8,52.2,7048,5.7,7.1,65.4,4.09,4.25,High
Remote,21,0,45.1,6582,7.5,3.2,52.8,8.91,1.99,High
Hybrid,29,7.9,48,7995,6.4,2.7,78.7,2.98,3.8,High
Remote,37,12.2,36.4,10777,7.8,2.8,74.7,7.8,2.23,High
Remote,34,8.6,47.2,10244,5.8,3.7,65.9,5.94,2.62,High
Remote,24,2.5,42.1,7189,5.2,4.8,75.1,5.72,2.1,High
Remote,39,17,36.9,11357,6,5.3,62.7,8.12,2.57,High
Remote,36,12.3,30.2,10749,6.1,7.4,78.4,6.2,2.87,High
Hybrid,34,9.6,44.3,8779,7.5,3.7,75.1,4.7,4.12,High
Hybrid,38,13.9,50.8,10535,5.5,4.4,65.7,4.2,2.36,High
Office,26,4.2,44.5,8463,6.5,4.1,61.5,3.07,2.75,High
Remote,23,1.9,42.8,7100,6.6,8.1,79.2,7.71,4.2,High
Hybrid,38,13.8,35.3,10412,6.5,6.4,63.4,3.46,3.79,High
Office,21,0,43.3,5954,6.9,2.2,79.2,2.59,3.07,High
Hybrid,22,0.8,48.6,6337,6.4,4.9,79.7,3.23,2.62,High
Hybrid,39,11.4,45.4,10229,6.3,1.1,70.4,1.74,2.88,High
Hybrid,39,15.8,44.5,10829,4.8,5.2,71.1,4.03,3.19,High
Remote,35,10.9,48.4,10459,7.1,3.6,90.6,6.89,2.34,High
Office,35,9.5,39.7,8769,5.4,5.4,54.9,2.68,4.12,High
Office,27,4.8,42.6,6789,7.7,4.2,73.9,2.45,3.44,High
Remote,21,0,41.4,7451,7.1,6,72.2,8.8,3.83,High
Remote,40,18.8,45.8,11111,5.4,5.7,81.4,7.59,3.44,High
Remote,30,6.7,36.8,8594,7.1,6.5,74.8,7.66,2.5,High
Remote,40,17.5,36.7,12649,5.9,3.5,71.9,5.62,1.78,High
Office,31,9.3,48.9,8189,6.5,5.5,65,2.01,3.91,High
Office,32,10.6,45.9,8703,6.8,7.4,67.6,4.26,3.79,High
Remote,28,6.6,46,9398,6,1.9,65.3,6.84,2.09,High
Office,21,0,51.9,5144,6.9,6.5,63.2,3.6,4.38,High
Hybrid,33,10.3,44.3,9575,5.9,6.3,62,5.25,4.04,High
Remote,26,4.3,35.5,8991,8.3,3.7,83.6,4.5,3.23,High
Remote,35,14,38.5,11322,5.7,3.9,72.9,6.55,2.87,High
Office,45,23.3,54.8,13141,7.2,4,68.4,3.06,3.64,High
Remote,28,6.8,40.5,8641,4.8,7.3,68.4,6.02,3.55,High
Remote,34,10.3,48.7,10587,4.3,8.4,53.5,7.03,2.85,High
Hybrid,27,3.9,48.1,7792,6.6,6.9,59.1,4.71,3.3,High
Office,27,5.7,42,7102,8.2,6.9,95.9,3.8,5.06,Medium
Office,43,21,49.7,12143,6,5.5,59.8,2.38,2.38,High
Remote,34,11.4,44.7,10781,7.2,4,90.9,6.85,3.34,High
Hybrid,40,18.5,42.2,12435,6.6,4,67.1,4.73,2.81,High
Office,30,8.8,49,6876,6.1,8.8,90.3,3.9,3.6,High
Hybrid,41,15.2,52.7,12059,7.8,4,70.1,4.5,3.7,High
Office,24,2.5,51.4,6281,5.3,2.6,43.8,4,1.09,High
Remote,32,8.1,41.6,10047,6.1,5,67.6,5.47,3.03,High
Remote,40,17.5,40.7,12571,8.7,4.7,56.2,5.56,4.37,High
Remote,47,23.7,47.3,13404,5.3,2.2,72.6,6.34,2.54,High
Office,28,4.4,48.9,7016,7.6,4.3,73.7,3.93,4.7,Medium
Hybrid,29,7.4,39.5,8567,5.6,6,50.6,5.17,2.37,High
Office,25,2.5,41.6,6881,7.9,2.3,69.3,1.9,3.64,High
Office,35,9.7,47.7,8363,7.4,5.4,52.3,4.15,3.09,High
Remote,35,11.4,39.5,10028,6.3,4,66.6,5.21,4.24,High
Remote,30,7.8,36.9,9137,5.8,6.3,66.6,7.33,2,High
Remote,29,7.4,32.3,9639,4.8,7.1,76.9,6.71,3.13,High
Office,38,13.1,50.4,9576,5.4,3.9,50.4,3.38,1.99,High
Office,49,19.8,50,12100,6.8,2.7,83.5,3.84,2.77,High
Remote,28,6.4,41,8764,5.4,8.6,78.3,8.01,3.52,High
Office,25,3.4,48.9,6762,5.8,6.9,58.8,1.53,3.63,High
Office,33,7.6,43,7731,5.4,6.3,60.8,1.27,4.17,High
Office,23,1.4,48.9,6072,7.5,6.7,70.2,3.7,4.27,High
Hybrid,45,17.8,42.1,11363,6.1,8.1,73.5,3.4,4.34,High
Office,38,16.4,47.1,10625,7.5,4.9,80.9,2.95,2.97,High
Remote,35,9.3,40,9077,6.3,2.8,100,5.87,1.79,High
Hybrid,25,3.5,46.2,6527,6,0,57.3,4.16,0.92,High
Hybrid,28,5,43.4,6867,4.7,5.5,67.3,2.81,4.22,High
Remote,35,12.6,36,10531,5.8,4.7,78.4,7.27,2.28,High
Office,30,6,47.5,7324,4.3,5.7,65,3.03,2.59,High
Office,24,2.9,43.8,5808,7.1,5.4,61,3.31,3.05,High
Hybrid,34,8.2,32.4,8771,5.6,3.7,84.1,3.51,4.44,High
Office,25,3.6,52.3,6122,6.7,4,63.3,4.07,2.65,High
Hybrid,40,15.6,39.6,10934,6.1,2.5,77.9,3.97,2.35,High
Remote,41,16.3,53.2,11318,5,7.3,78.7,9.09,3.14,High
Remote,40,16.8,35.2,12578,5.7,5,77.7,8.16,2.92,High
Office,22,0.6,42.5,5298,6.5,8.7,72,1.94,5.22,Medium
Remote,22,0.9,49.2,6898,5.8,7.9,77.9,6.95,4.32,High
Office,23,1.6,51.6,6713,6,7.4,71.4,3.33,3.81,High
Hybrid,35,8.4,40.1,9434,4.7,5.8,74.4,5.23,3.61,High
Hybrid,30,6.6,43.2,8909,6.8,2.9,72.2,2.96,3.8,High
Remote,29,4.9,38.1,7998,5.2,5,77.8,6.58,2.19,High
Office,22,0.7,46.6,5639,7.6,2,67.2,3.27,3.23,High
Office,27,5.1,55.7,6701,5.5,3.8,76.7,3.99,2.56,High
Remote,29,6.6,42.8,9508,4.7,4.2,53.4,7.1,2.61,High
Remote,26,4.1,49.3,8442,7.4,6.6,86.7,7.29,3.75,High
Remote,47,19.9,30,12911,7.3,6.7,70.4,5.68,4.24,High
Hybrid,37,15.8,45.7,11030,4.9,3.1,42.5,4.51,1.87,High
Remote,35,13.8,39.1,10969,5.6,1.8,83.4,7.02,1.82,High
Remote,30,7.4,40.2,8860,5.5,5.3,70.4,6.83,2.33,High
Remote,41,18.9,32.9,12222,9,2.7,87.7,6.51,2.71,High
Remote,40,11.9,42.7,10379,5.4,4.3,78.1,5.94,1.93,High
Office,32,10.6,51.8,8766,4.4,6.4,43.4,2.75,4.32,High
Hybrid,34,10.9,39.6,9251,6.7,8.1,73.4,2.9,5.4,Medium
Hybrid,26,3.5,44.5,6670,7.7,4.9,95.3,4.8,2.4,High
Office,37,15.3,44.2,10130,8.1,3.3,78.5,2.03,4.24,High
Remote,32,10.5,39.9,9234,8.1,7.1,91.3,5.62,4.11,High
Hybrid,22,0.7,44.9,6162,5.1,4.7,79.6,2.38,3.87,High
Office,45,22.1,43.2,12647,6.9,8.7,79.4,2.27,5.11,Medium
Remote,40,15.5,43.7,11096,5,3.4,66.9,7.79,3.26,High
Office,39,17.5,47.4,10283,7.4,7.8,78.5,2.66,3.47,High
Office,32,9.2,49.1,8915,5.9,3.2,63.5,2.69,2.02,High
Office,35,11.4,43.3,9203,7.6,7.5,79.1,1.06,4.07,High
Remote,42,14.4,33.7,10549,5.9,9.7,69,6.41,4.36,High
Office,23,1.3,35,5388,7.8,5.8,60.5,1.54,3.89,High
Hybrid,42,19.8,45.4,11748,7.6,6.6,79.3,3.15,3.8,High
Remote,44,19.2,50.6,12787,7.4,5.9,69.3,6.63,2.76,High
Office,33,9.7,36.4,8159,7.4,1,91,2.74,2.21,High
Remote,31,7.4,35.4,8760,6,6.9,73.3,5.02,3.65,High
Hybrid,33,7.7,42.8,7750,7,6.1,72,6,2.84,High
Remote,31,6.6,43.7,8347,6.4,6,73.3,5.59,2.97,High
Remote,35,13,33,10609,7.9,4.6,78,6.66,4.38,High
Office,30,5.6,40.5,6855,7.2,1.3,76.3,2.42,0.76,High
Remote,48,24.2,45.7,13367,4.9,5.7,62.7,8.49,2.52,High
Office,27,4.5,53.5,6427,4.8,3.5,66,4.19,2.93,High
Hybrid,35,10.9,45,10140,4.8,2.8,61.2,4.3,3.43,High
Office,24,2.5,49.5,6060,4.7,2.4,47.9,2.88,2.22,High
Hybrid,37,14.3,37.6,10065,6.3,6.3,84.6,4.2,4.65,Medium
Hybrid,38,11.7,46.6,10810,5,6.3,69.7,5.29,2.71,High
Office,39,15.5,47.9,10736,6.5,4.2,80.3,2.42,4.33,High
Office,52,19.2,49.5,12361,6.7,2.5,82.1,3.61,2.91,High
Remote,36,12.9,33.3,10645,6.2,5.9,74.4,6.64,3.37,High
Remote,27,3.9,41.9,8072,6.7,4,86.1,6.59,2.73,High
Remote,30,7.6,44.4,9310,7.1,2.3,78.6,6.62,2.72,High
Hybrid,39,13.7,45.4,10917,6.8,10,80.4,3.3,5.52,Medium
Remote,43,15.4,57.6,11395,4,6.3,82.9,5.75,2.64,High
Remote,45,20.8,39.4,13202,8.7,1.9,85.9,8.54,2.94,High
Remote,32,6.9,45.2,8632,7.1,7.4,63,6.27,2.51,High
Remote,25,4,35.4,7604,6.5,6,66.7,8.37,2.54,High
Office,40,17.8,54.8,9909,4.5,5,72.3,3.05,3.56,High
Office,27,5.4,51.6,7956,6.5,5,59.9,3.32,4.09,High
Remote,28,4.4,38.9,8428,6,7.7,77.5,7.26,3.54,High
Office,32,6.7,52,7698,7.1,2.9,84.4,2.63,3.9,High
Remote,34,8.9,35.4,8798,6.9,2.1,53.1,7.2,1.57,High
Remote,34,12.3,42.5,9787,6.4,2.1,78.1,8.49,2.48,High
Remote,23,1.8,39.4,7221,5.1,3.3,76.8,5.36,3.18,High
Hybrid,39,15.7,48,10440,7.5,9.2,78.4,3.21,5.51,Medium
Remote,47,16.1,43.8,11729,5.7,1.7,60.7,8.33,2.47,High
Remote,38,12.4,44,10974,7.3,5.1,60.4,7.77,3.01,High
Office,22,0.7,44.3,5339,6.3,4.1,91.5,2.83,3.71,High
Office,27,5.4,42.2,6971,5.6,3.4,62.2,1.38,2.31,High
Office,33,10.4,55.8,8583,6.5,7,71.1,1.66,4.27,High
Remote,48,24,47.7,13439,5.2,5.7,83.1,6.54,2,High
Hybrid,21,0,43.9,6939,6,3.6,65.5,6.3,2.66,High
Remote,31,6.6,41.2,9614,8.1,1.9,75.2,7.05,2.51,High
Office,45,17,42.4,10779,7.1,6.4,72,2.92,4.22,High
Office,38,16.4,42.3,11175,6.6,3.7,69.5,2.11,3.56,High
Remote,34,10.2,41.8,10668,6.1,5.4,64.2,7.88,2.49,High
Remote,21,0,38.9,6947,7,4.1,78.8,6.18,1.56,High
Remote,31,9.6,46.2,10389,6.4,5.5,57.4,6.09,4.1,High
Office,32,6.8,47.1,7854,6,3,75.3,3.1,1.29,High
Remote,30,5.5,43,7637,7.2,2.8,81.4,9.13,2.85,High
Remote,28,5.2,47.5,8741,7.2,5.5,64.9,6.76,3.95,High
Remote,37,11.8,38.2,10472,5.9,7.4,91.1,5.03,3.37,High
Remote,25,2.5,32.9,7824,7.7,4.6,91.1,5.26,2.27,High
Office,36,14.5,45.1,8931,5.7,2.8,67.5,1.87,3.39,High
Office,29,5.7,35.9,7388,7.7,4.2,80.1,1.88,3.8,High
Hybrid,38,11.5,46.8,10433,6,2.8,64.3,4.3,2.56,High
Remote,36,14.4,43.9,11469,5.6,4.4,80.3,6.75,1.07,High
Office,33,10.2,45.3,7808,6.5,1.8,68,2.64,2.72,High
Hybrid,28,6.4,46,7348,9,5.9,94.1,4.19,4.12,High
Hybrid,31,7.1,43.5,9735,5.6,5.3,77.4,6.04,2.27,High
Office,39,13.7,57.2,9063,7.6,6.3,74.5,3.49,3.68,High
Remote,31,6,41.8,8701,4.7,5.1,57,5.68,1.69,High
Remote,30,5.7,50.7,8760,8,4,93.6,8.53,2.45,High
Remote,29,6.9,38.6,9362,5.9,2.4,78.2,6.86,1.15,High
Remote,32,9.6,34.6,9780,4.9,3.1,88.3,6.27,2.04,High
Remote,24,2.8,47.4,8735,5.3,4.8,80.8,7.34,3.4,High
Remote,36,11.9,48.5,9987,7.6,1.9,84.9,6.12,2.72,High
Office,27,5.8,44,6582,5.3,5.6,80.5,2.79,4.31,High
Office,24,1.8,55.6,5984,8.3,0.9,67.3,3.22,2.51,High
Office,31,8.6,60,8231,6.8,0.9,53.6,3.68,2.29,High
Office,41,13,47.8,9304,6.1,4.3,64.6,2.62,3.54,High
Remote,43,17.4,39.8,11323,6.2,6,62.3,7.35,1.41,High
Office,21,0,42.9,5509,7,2.9,77.8,2.95,1.92,High
Remote,32,8.2,31.6,9861,7.5,5.7,75.3,6.93,2.56,High
Office,28,6.7,59.8,7729,6.1,3,71.1,3.43,2.43,High
Remote,26,4.3,34.4,8338,5.9,7.8,85.2,5.93,4.05,High
Office,32,8.3,39.9,8785,7.3,6.6,72.2,2.51,5.17,Medium
Remote,33,10.1,41,9942,5,7.3,69.4,5.83,2.92,High
Hybrid,33,11.8,43.2,9941,7.8,5.7,75.1,3.45,4.49,High
